nom groupe ssgroupe Energie EnergiePredite Eau Proteines Glucides Lipides Sucres Fibres Polyols Alcool AcidesOrganiques Calcium Cuivre Fer Magnesium Manganese Phosphore Potassium Zinc VitamineC
"Poireau, cuit" légumes "légumes cuits" NA 23.584361154652512 92 1.1 3 0.2 2.11 3.2 NA 0 NA 25.6 0.12 0.34 8.45 0.075 20 151 0.1 1.3
"Potiron, appertisé, égoutté" légumes "légumes cuits" NA 32.861672063586134 90 1.1 5.19 0.28 3.3 2.9 NA 0 NA 26 0.11 1.39 23 0.15 35 206 0.17 4.2
"Tomate, pelée, appertisée, égouttée" légumes "légumes cuits" 18.3 19.870513323813768 94.4 1.07 1.89 0.28 1.88 1.27 0.0075 0 0.46 21.1 0.06 0.77 9.2 0.073 18 190 0.11 12
"Maïs doux, en épis, cuit" légumes "légumes cuits" NA 107.94849477833334 73.4 3.41 18.6 1.5 4.54 2.4 NA 0 NA 3 0.049 0.45 26 0.17 77 218 0.62 5.5
"Macédoine de légumes, appertisée, égouttée" légumes "légumes cuits" 40.4 40.437333583867215 87 2.32 5.59 0.28 1.73 3.16 0.039 0 NA 40.7 0.072 1.05 10.6 0.15 42 291 0.28 5
"Épinard, appertisé, égoutté" légumes "légumes cuits" NA 26.792530198062693 91.8 2.81 0.93 0.5 0.4 2.4 NA 0 0.07 127 0.18 2.3 76 0.6 44 346 0.46 14.3
"Haricot vert, appertisé, égoutté" légumes "légumes cuits" 23.1 22.13656659948421 92.6 1.33 2.07 0.31 0.77 3.36 0.3 0 0.15 42.7 0.13 0.81 13 0.094 25.3 94 0.23 3.1
"Haricot beurre, appertisé, égoutté" légumes "légumes cuits" NA 26.327278509080195 92.8 1.22 3.48 0.23 0.86 1.68 NA 0 NA 25 0.044 0.9 15 0.2 19 104 0.3 4.1
"Maïs doux, appertisé, égoutté" légumes "légumes cuits" 106 105.95612234071677 75.4 2.82 18.4 1.68 5.16 3.1 0.13 0 NA 3.51 0.036 0.35 26.9 0.11 53.8 224 0.39 3.55
"Artichaut, appertisé, égoutté" légumes "légumes cuits" NA 39.17930165480347 89.9 1.5 6.5 0.2 1.5 3 NA 0 NA NA NA NA NA NA NA NA NA NA
"Tomate, concentré, appertisé" légumes "légumes cuits" 99.2 97.85110056277331 72 4.4 17.1 0.53 13.3 4.2 0 0 NA 45.6 NA 1.2 63.3 NA 103 1010 NA 2.6
"Haricot vert, surgelé, cuit" légumes "légumes cuits" 36.3 35.856517352885604 91.4 1.95 5.1 0.19 1.23 3.3 0.1 0 NA 51 0.059 0.68 19 0.29 29 159 0.24 11.6
"Asperge, appertisée, égouttée" légumes "légumes cuits" NA 20.502093834840636 94.2 1.58 1.43 0.27 1.23 1.5 NA 0 NA 15.8 0.076 1.09 8.5 0.16 35 142 0.42 18.4
"Chou de Bruxelles, appertisé, égoutté" légumes "légumes cuits" NA 37.88314174119496 88.9 2.5 4.1 0.53 2.5 3.3 NA 0 NA 26.3 0.03 0.7 12.2 0.1 53 252 0.2 18
"Céleri branche, appertisé, égoutté" légumes "légumes cuits" 13.1 14.489448274317294 95 0.63 1.38 0.15 0.8 2 0.17 0 NA 29.2 0.04 NA 8 0.11 NA 281 0.14 NA
"Champignon de Paris ou champignon de couche, appertisé, égoutté" légumes "légumes cuits" 19.4 21.810491938748896 92.9 2.23 0.7 0.37 0 2.5 0.4 0 NA 22.2 0.17 0.9 4.85 0.027 47 72.1 0.44 6.5
"Salsifis, appertisé, égoutté" légumes "légumes cuits" NA 28.71789243415145 91.5 1.25 4.25 0.15 1 2.5 NA 0 NA 21 NA NA 8.9 NA NA 173 NA NA
"Poivron vert, cuit" légumes "légumes cuits" NA 20.205531170445184 91.9 0.92 2.36 0.2 2.36 1.2 NA 0 NA 9 0.065 0.46 10 0.12 18 166 0.12 74.4
"Poivron rouge, cuit" légumes "légumes cuits" NA 41.57453988179096 90.2 1.4 7 0.3 6 2.2 NA 0 NA 9 0.01 NA 14 0.1 26 180 0.2 81
"Petits pois et carottes, appertisés, égouttés" légumes "légumes cuits" 49 48.85139156165118 87.4 2.51 7.39 0.33 3.58 3.27 0.039 0 NA 23 0.1 0.75 14 0.36 46 100 0.58 6.6
"Chou-rave, bouilli/cuit à l'eau" légumes "légumes cuits" NA 31.63805381790537 90.3 1.8 4.4 0.11 2.8 1.1 NA 0 NA 25 0.13 0.4 19 0.14 45 340 0.31 54
"Chou rouge, bouilli/cuit à l'eau" légumes "légumes cuits" NA 25.815582407661992 90.8 1.51 3.32 0.09 3.32 2.6 NA 0 NA 54.6 0.034 0.66 11.8 0.16 33 262 0.14 34.4
"Potiron, cuit" légumes "légumes cuits" NA 26.76597423175037 92 0.81 4.5 0.07 3.1 2 NA 0 NA 13 0.04 0.18 6.9 0.04 21 230 0.1 0.84
"Champignon de Paris ou champignon de couche, bouilli/cuit à l'eau" légumes "légumes cuits" 28.7 31.408427637406962 91.1 2.17 3 0.47 2.34 2.2 0.4 0 NA 6 0.5 1.74 12 0.12 87 356 0.87 4
"Épinard, surgelé, cuit" légumes "légumes cuits" NA 34.566033258146824 88.9 4.01 0.51 0.87 0.51 3.7 NA 0 NA 153 0.16 1.96 82 0.72 50 302 0.49 2.2
"Chou-fleur, surgelé, cuit" légumes "légumes cuits" 18 18.699861595632097 94 1.61 1.05 0.22 1.03 2.7 0.017 0 NA 17 0.024 0.41 9 0.15 24 139 0.13 31.3
"Petits pois, surgelés, cuits" légumes "légumes cuits" NA 63.48977878160567 79.5 5.15 7.95 0.27 4.65 5.5 NA 0 NA 24 0.11 1.52 22 0.28 77 110 0.67 9.9
"Panais, cuit" légumes "légumes cuits" 67.8 66.08778922572897 80.2 1.32 13.4 0.3 4.8 3.6 0.61 0 NA 37 0.14 0.58 29 0.29 69 367 0.26 13
"Courge spaghetti, pulpe, cuite" légumes "légumes cuits" NA 29.99644123578305 92.3 0.66 5.06 0.26 2.53 1.4 NA 0 NA 21 0.035 0.34 11 0.11 14 117 0.2 3.5
