nom groupe ssgroupe Energie Eau Proteines Glucides Lipides Sucres Fibres Calcium Cuivre Fer Magnesium Manganese Phosphore Potassium Zinc VitamineC
"Haricot mungo germé ou pousse de ""soja"", appertisé, égoutté" légumes "légumes cuits" NA 95.8 1.56 2.36 0.12 1.78 1.63 13.4 0.047 0.26 7.53 0.039 26 31.5 0.11 0.65
"Haricot vert, cuit" légumes "légumes cuits" 29.4 89.3 2 3 0.17 1 4 55.3 0.081 0.6 22.3 0.19 36 174 0.2 5
"Navet, cuit" légumes "légumes cuits" NA 93.4 0.9 3.8 0.2 2.9 2.2 37.3 0.045 0.11 8.75 0.045 26 237 0.099 5.6
"Oignon, cuit" légumes "légumes cuits" NA 90.4 1.3 6.2 0.2 4 1.4 29.2 0.077 0.21 13 0.12 44 220 0.19 2.1
"Petits pois, appertisés, égouttés" légumes "légumes cuits" 81.5 79.5 5.12 10.7 0.8 3.59 5.75 20.6 0.079 1.29 16.3 0.17 73.1 71.5 0.42 6.9
"Petits pois, cuits" légumes "légumes cuits" NA 82.9 5.8 4.7 0.87 1.8 5.8 32.7 0.14 1.17 31.9 0.32 96 135 0.8 1.8
"Poireau, cuit" légumes "légumes cuits" NA 92 1.1 3 0.2 2.11 3.2 25.6 0.12 0.34 8.45 0.075 20 151 0.1 1.3
"Potiron, appertisé, égoutté" légumes "légumes cuits" NA 90 1.1 5.19 0.28 3.3 2.9 26 0.11 1.39 23 0.15 35 206 0.17 4.2
"Tomate, pelée, appertisée, égouttée" légumes "légumes cuits" 18.3 94.4 1.07 1.89 0.28 1.88 1.27 21.1 0.06 0.77 9.2 0.073 18 190 0.11 12
"Maïs doux, en épis, cuit" légumes "légumes cuits" NA 73.4 3.41 18.6 1.5 4.54 2.4 3 0.049 0.45 26 0.17 77 218 0.62 5.5
"Macédoine de légumes, appertisée, égouttée" légumes "légumes cuits" 40.4 87 2.32 5.59 0.28 1.73 3.16 40.7 0.072 1.05 10.6 0.15 42 291 0.28 5
"Épinard, appertisé, égoutté" légumes "légumes cuits" NA 91.8 2.81 0.93 0.5 0.4 2.4 127 0.18 2.3 76 0.6 44 346 0.46 14.3
"Haricot vert, appertisé, égoutté" légumes "légumes cuits" 23.1 92.6 1.33 2.07 0.31 0.77 3.36 42.7 0.13 0.81 13 0.094 25.3 94 0.23 3.1
"Haricot beurre, appertisé, égoutté" légumes "légumes cuits" NA 92.8 1.22 3.48 0.23 0.86 1.68 25 0.044 0.9 15 0.2 19 104 0.3 4.1
"Maïs doux, appertisé, égoutté" légumes "légumes cuits" 106 75.4 2.82 18.4 1.68 5.16 3.1 3.51 0.036 0.35 26.9 0.11 53.8 224 0.39 3.55
"Artichaut, appertisé, égoutté" légumes "légumes cuits" NA 89.9 1.5 6.5 0.2 1.5 3 NA NA NA NA NA NA NA NA NA
"Tomate, concentré, appertisé" légumes "légumes cuits" 99.2 72 4.4 17.1 0.53 13.3 4.2 45.6 NA 1.2 63.3 NA 103 1010 NA 2.6
"Haricot vert, surgelé, cuit" légumes "légumes cuits" 36.3 91.4 1.95 5.1 0.19 1.23 3.3 51 0.059 0.68 19 0.29 29 159 0.24 11.6
"Asperge, appertisée, égouttée" légumes "légumes cuits" NA 94.2 1.58 1.43 0.27 1.23 1.5 15.8 0.076 1.09 8.5 0.16 35 142 0.42 18.4
"Chou de Bruxelles, appertisé, égoutté" légumes "légumes cuits" NA 88.9 2.5 4.1 0.53 2.5 3.3 26.3 0.03 0.7 12.2 0.1 53 252 0.2 18
"Céleri branche, appertisé, égoutté" légumes "légumes cuits" 13.1 95 0.63 1.38 0.15 0.8 2 29.2 0.04 NA 8 0.11 NA 281 0.14 NA
"Champignon de Paris ou champignon de couche, appertisé, égoutté" légumes "légumes cuits" 19.4 92.9 2.23 0.7 0.37 0 2.5 22.2 0.17 0.9 4.85 0.027 47 72.1 0.44 6.5
"Salsifis, appertisé, égoutté" légumes "légumes cuits" NA 91.5 1.25 4.25 0.15 1 2.5 21 NA NA 8.9 NA NA 173 NA NA
"Poivron vert, cuit" légumes "légumes cuits" NA 91.9 0.92 2.36 0.2 2.36 1.2 9 0.065 0.46 10 0.12 18 166 0.12 74.4
"Poivron rouge, cuit" légumes "légumes cuits" NA 90.2 1.4 7 0.3 6 2.2 9 0.01 NA 14 0.1 26 180 0.2 81
"Petits pois et carottes, appertisés, égouttés" légumes "légumes cuits" 49 87.4 2.51 7.39 0.33 3.58 3.27 23 0.1 0.75 14 0.36 46 100 0.58 6.6
"Chou-rave, bouilli/cuit à l'eau" légumes "légumes cuits" NA 90.3 1.8 4.4 0.11 2.8 1.1 25 0.13 0.4 19 0.14 45 340 0.31 54
"Chou rouge, bouilli/cuit à l'eau" légumes "légumes cuits" NA 90.8 1.51 3.32 0.09 3.32 2.6 54.6 0.034 0.66 11.8 0.16 33 262 0.14 34.4
